,개인형 이동장치 주차존,
연번,위치,행정동,
1.0,대흥역1번,서울특별시 마포구 대흥동 ,
2.0,마포구청역3번,서울특별시 마포구 성산동 ,
3.0,아현역4번,서울특별시 마포구 아현동 ,
4.0,합정역 9번,서울특별시 마포구 서교동,
5.0,합정역10번,서울특별시 마포구 서교동,
6.0,합정역 8번,서울특별시 마포구 합정동,
7.0,합정역 8번,서울특별시 마포구 합정동,
8.0,합정역 7번,서울특별시 마포구 합정동,
9.0,홍대입구역 7번,서울특별시 마포구 동교동,
10.0,홍대입구역 4번,서울특별시 마포구 동교동,
11.0,홍대입구역 8번,서울특별시 마포구 동교동,
12.0,홍대입구역 3번,서울특별시 마포구 동교동,
13.0,홍대입구역 2번,서울특별시 마포구 동교동,
14.0,홍대입구역 1번,서울특별시 마포구 동교동,
15.0,DMC역 8,9번사이,서울특별시 마포구 상암동,
16.0,DMC역 8,10번사이,서울특별시 마포구 상암동,
17.0,DMC역 8,11번사이,서울특별시 마포구 상암동,
18.0,상암동주민센터,서울특별시 마포구 상암동,
19.0,DMC홍보관,서울특별시 마포구 상암동,
20.0,디지털큐브,서울특별시 마포구 상암동,
21.0,mbc,서울특별시 마포구 상암동,
22.0,mbc,서울특별시 마포구 상암동,
23.0,누리꿈,서울특별시 마포구 상암동,
24.0,스탠포드호텔,서울특별시 마포구 상암동,
25.0,상암오벨리스크2차,서울특별시 마포구 상암동,
